vl_id,vl_id_str,method1_success,method1_rmse,method1_mean_dist,method1_sternum_drift,method1_nfev,method2_success,method2_rmse,method2_sternum_drift,method2_iterations,method2_inlier_fraction
9,VL00009,True,13.056934095997379,9.48350096459707,1.467511591522657e-14,11,True,7.120504709898212,0.0,95,0.8668838591678097
11,VL00011,True,8.40185085151855,6.413790109360057,3.66205343881779e-15,13,True,5.878228576805758,0.0,129,0.9172953818015547
12,VL00012,True,11.05873804573444,6.893472018856919,3.552713678800501e-15,15,True,4.492635761297788,0.0,59,0.8942615454961134
14,VL00014,True,12.685620454677004,7.967650158756665,1.7763568394002505e-15,11,True,4.993497837521139,0.0,32,0.86539780521262
15,VL00015,True,4.657658570245234,3.3914197375157635,3.552713678800501e-15,16,True,4.042686717675309,0.0,62,0.9812528577960676
17,VL00017,True,8.530457952023678,5.3994713997142085,7.105427357601002e-15,13,True,4.448182085323983,0.0,83,0.924039780521262
18,VL00018,True,5.165942923174663,4.085575789701491,2.5121479338940403e-15,16,True,4.508241949096575,0.0,86,0.9767375400091449
19,VL00019,True,4.638991596201083,3.8838072897082534,3.972054645195637e-15,15,True,4.561241279624206,0.0,139,0.9930269775948788
20,VL00020,True,3.8873160597464818,2.9871457691695205,3.552713678800501e-15,17,True,3.707821447939133,0.0,99,0.9926840420667581
22,VL00022,True,8.77974724413751,6.6689777688081655,1.5888218580782548e-14,20,True,6.109557178432302,0.0,170,0.9183241883859168
25,VL00025,True,6.844204060813197,5.005410661182528,1.1102230246251565e-16,18,True,4.451422388133581,0.0,91,0.9303840877914952
29,VL00029,True,5.975309140947813,4.536131727429907,0.0,14,True,4.724856076122353,0.0,62,0.9523319615912208
30,VL00030,True,6.179150059924903,4.472956778125355,1.443119118362539e-14,14,True,4.694167844343644,0.0,40,0.9506744398719708
31,VL00031,True,5.703539570391205,4.598503855011997,1.7763568394002505e-15,18,True,5.198911677054179,0.0,79,0.9729080932784636
