Subject,slice_spacing_mm,pixel_x_mm,pixel_y_mm,note
VL00009,0.89999997615814,1.171875,1.171875,
VL00011,0.89999997615814,1.171875,1.171875,
VL00012,0.89999997615814,1.171875,1.171875,
VL00014,0.89999997615814,1.171875,1.171875,
VL00015,0.89999997615814,1.171875,1.171875,
VL00017,0.89999997615814,1.171875,1.171875,
VL00018,0.89999997615814,1.171875,1.171875,
VL00019,0.90000003576279,1.171875,1.171875,
VL00020,0.89999997615814,1.171875,1.171875,
VL00022,0.89999997615814,1.171875,1.171875,
VL00025,0.89999997615814,1.171875,1.171875,
VL00029,0.89999997615814,1.171875,1.171875,
VL00030,0.89999997615814,1.171875,1.171875,
VL00031,0.89999997615814,1.25,1.25,
VL00032,0.89999997615814,1.3020833730698,1.3020833730698,
VL00034,0.89999997615814,1.171875,1.171875,
VL00035,0.89999997615814,1.171875,1.171875,
VL00036,0.89999997615814,1.171875,1.171875,
VL00037,0.89999997615814,1.171875,1.171875,
VL00038,0.89999997615814,1.171875,1.171875,
VL00039,0.89999997615814,1.09375,1.09375,
VL00040,0.89999997615814,1.171875,1.171875,
VL00041,0.89999997615814,1.171875,1.171875,
VL00042,0.89999997615814,1.25,1.25,
VL00044,0.89999997615814,1.171875,1.171875,
VL00045,0.89999997615814,1.171875,1.171875,
VL00046,0.89999997615814,1.171875,1.171875,
VL00047,0.89999997615814,1.171875,1.171875,
VL00048,0.89999997615814,1.171875,1.171875,
VL00049,0.89999997615814,1.0416666269302,1.0416666269302,
VL00050,0.89999997615814,1.09375,1.09375,
VL00051,0.89999997615814,1.1197916269302,1.1197916269302,
VL00052,0.89999997615814,1.171875,1.171875,
VL00054,0.89999997615814,1.3020833730698,1.3020833730698,
VL00056,0.89999997615814,1.171875,1.171875,
VL00057,0.89999997615814,1.171875,1.171875,
VL00058,0.89999997615814,1.171875,1.171875,
VL00059,0.89999997615814,1.171875,1.171875,
VL00060,0.89999997615814,0.98958331346512,0.98958331346512,
VL00061,0.89999997615814,1.171875,1.171875,
VL00063,0.89999997615814,1.171875,1.171875,
VL00064,0.89999997615814,1.25,1.25,
VL00065,0.89999997615814,1.0416666269302,1.0416666269302,
VL00066,0.89999997615814,1.0416666269302,1.0416666269302,
VL00067,0.89999997615814,1.171875,1.171875,
VL00068,0.89999997615814,1.171875,1.171875,
VL00069,0.89999997615814,1.171875,1.171875,
VL00070,0.89999997615814,1.2760416269302,1.2760416269302,
VL00071,0.89999997615814,1.25,1.25,
VL00072,0.89999997615814,1.171875,1.171875,
VL00074,0.89999997615814,1.171875,1.171875,
VL00075,0.89999997615814,1.09375,1.09375,
VL00076,0.89999997615814,1.171875,1.171875,
VL00077,0.89999997615814,1.25,1.25,
VL00078,0.89999997615814,1.171875,1.171875,
VL00079,0.89999997615814,1.171875,1.171875,
VL00081,0.89999997615814,1.171875,1.171875,
VL00082,0.89999997615814,1.8359375,1.8359375,
VL00084,0.89999997615814,1.171875,1.171875,
VL00085,0.89999997615814,1.171875,1.171875,
VL00086,0.89999997615814,1.171875,1.171875,
VL00087,0.89999997615814,1.171875,1.171875,
VL00088,0.89999997615814,1.171875,1.171875,
VL00089,0.89999997615814,1.171875,1.171875,
